snapshot_date,source_period,source_updated_at,name,description,sector,sector_slug,stage,geography,commit_velocity_14d,commit_velocity_change,contributors,contributor_growth,new_repos_30d,signal_type,vc_scout_score,momentum_flag,top_driver,risk_flag,github_url,website_url,profile_url
2026-01-01,q1-2026,,open-condo-software,,PropTech,proptech,Growth,LATAM,23,15,51,0,0,Framework migration,,,,,https://github.com/open-condo-software,,
2026-01-01,q1-2026,,opennem,,Climate Tech,climate-tech,Seed,APAC,31,999,9,121,0,Engineering hiring burst,,,,,https://github.com/opennem,,
2026-01-01,q1-2026,,orbiternassp,,Space Tech,space-tech,Series A/B,Unknown,46,12,37,0,0,Framework migration,,,,,https://github.com/orbiternassp,,
2026-01-01,q1-2026,,paperless-ngx,,AI & Machine Learning,ai-ml,Growth,Unknown,61,336,100,0,0,Deploy frequency spike,,,,,https://github.com/paperless-ngx,,
2026-01-01,q1-2026,,particify,,EdTech,edtech,Seed,EU,14,999,16,0,0,Deploy frequency spike,,,,,https://github.com/particify,,
2026-01-01,q1-2026,,polarsource,,Enterprise SaaS,enterprise-saas,Growth,Unknown,289,456,100,0,0,Deploy frequency spike,,,,,https://github.com/polarsource,,
2026-01-01,q1-2026,,projectdiscovery,,Cybersecurity,cybersecurity,Growth,Unknown,994,52,100,0,0,Framework migration,,,,,https://github.com/projectdiscovery,,
2026-01-01,q1-2026,,roboflow,,AI & Machine Learning,ai-ml,Growth,US,127,-29,90,0,2,Framework migration,,,,,https://github.com/roboflow,,
2026-01-01,q1-2026,,saleor,,E-commerce Infrastructure,ecommerce-infrastructure,Growth,Unknown,9,29,100,0,0,Framework migration,,,,,https://github.com/saleor,,
2026-01-01,q1-2026,,tenzir,,Cybersecurity,cybersecurity,Series A/B,EU,208,66,48,0,0,Framework migration,,,,,https://github.com/tenzir,,
2026-01-01,q1-2026,,third-culture-software,,Healthcare,healthcare,Series A/B,Unknown,23,360,27,0,1,Deploy frequency spike,,,,,https://github.com/third-culture-software,,
2026-01-01,q1-2026,,unacms,,Social & Community,social-community,Seed,Unknown,33,-30,11,0,0,Framework migration,,,,,https://github.com/unacms,,
2026-01-01,q1-2026,,wazuh,,Legal Tech,legal-tech,Growth,US,260,65,100,7,1,Framework migration,,,,,https://github.com/wazuh,,
2026-01-01,q1-2026,,zapplyjobs,,HR Tech,hr-tech,Seed,US,6,-60,8,220,0,Engineering hiring burst,,,,,https://github.com/zapplyjobs,,
2026-04-01,q2-2026,,ClickHouse,,Data Infrastructure,data-infrastructure,Growth,US,2184,-40,100,0,4,Infrastructure buildout,,,,,https://github.com/ClickHouse,,
2026-04-01,q2-2026,,FlaxEngine,,Gaming,gaming,Growth,Unknown,83,-55,89,30,0,Framework migration,,,,,https://github.com/FlaxEngine,,
2026-04-01,q2-2026,,LiteFarmOrg,,AgTech,agtech,Growth,Canada,84,-41,65,0,0,Framework migration,,,,,https://github.com/LiteFarmOrg,,
2026-04-01,q2-2026,,NDLANO,,EdTech,edtech,Series A/B,Unknown,42,-5,28,10,0,Framework migration,,,,,https://github.com/NDLANO,,
2026-04-01,q2-2026,,OpenC3,,Space Tech,space-tech,Series A/B,US,87,0,45,0,0,Framework migration,,,,,https://github.com/OpenC3,,
